,url,description,language,tags
0,https://github.com/github/auto-complete-element,Auto-complete input values from server search results.,JavaScript,"['web-components', 'custom-elements']"
1,https://github.com/github/octobox,Untangle your GitHub Notifications,Ruby,[None]
2,https://github.com/github/orchestrator,MySQL replication topology management and HA,Go,"['mysql', 'replication', 'high-availability', 'management-system']"
3,https://github.com/github/explore,Community-curated topic and collection pages on GitHub,Ruby,"['topics', 'collections', 'community-driven']"
4,https://github.com/github/pages-gem,A simple Ruby Gem to bootstrap dependencies for setting up and maintaining a local Jekyll environment in sync with GitHub Pages,Ruby,"['github', 'ruby', 'jekyll', 'jekyll-plugin', 'ruby-gem', 'jekyll-theme', 'github-pages']"
5,https://github.com/github/fetch,A window.fetch JavaScript polyfill.,JavaScript,"['fetch', 'promise', 'polyfill', 'javascript']"
6,https://github.com/github/opensource.guide,Community guides for open source creators,JavaScript,"['open-source', 'oss', 'tutorial', 'documentation', 'best-practices']"
7,https://github.com/github/hub,A command-line tool that makes git easier to use with GitHub.,Go,"['git', 'go', 'homebrew', 'github-api', 'pull-request']"
8,https://github.com/github/octodns,Tools for managing DNS across multiple providers,Python,"['dns', 'workflow', 'infrastructure-as-code']"
9,https://github.com/github/dmca,Repository with text of DMCA takedown notices as received. GitHub does not endorse or adopt any assertion contained in the following notices. Users identified in the notices are presumed innocent until proven guilty. Additional information about our DMCA policy can be found at,,['dmca']
10,https://github.com/github/semantic,"Parsing, analyzing, and comparing source code across many languages",Haskell,[None]
11,https://github.com/github/learning-lab-components,Open sourced components from GitHub Learning Lab,JavaScript,"['learning-lab', 'github-learning-lab']"
12,https://github.com/github/linguist,"Language Savant. If your repository's language is being reported incorrectly, send us a pull request!",Ruby,"['linguistic', 'syntax-highlighting', 'language-grammars', 'language-statistics']"
13,https://github.com/github/choosealicense.com,A site to provide non-judgmental guidance on choosing a license for your open source project,Ruby,"['jekyll', 'open-source', 'licensing', 'law', 'open-source-licensing']"
14,https://github.com/github/auto-check-element,An input element that validates its value with a server endpoint.,JavaScript,"['web-components', 'custom-elements']"
15,https://github.com/github/custom-element-boilerplate,Boilerplate for creating a custom element.,JavaScript,"['web-components', 'custom-elements']"
16,https://github.com/github/gitignore,A collection of useful .gitignore templates,,"['gitignore', 'git']"
17,https://github.com/github/VFSForGit,GitHub development on VFSForGit [please fork upstream microsoft/VFSForGit repository instead of this one],C#,[None]
18,https://github.com/github/webauthn-json,A WebAuthn API wrapper that translates to/from pure JSON using base64url.,TypeScript,"['u2f', 'fido', 'webauthn', 'fido2', 'webauthn-library', 'security-key']"
19,https://github.com/github/VisualStudio,GitHub Extension for Visual Studio,C#,"['github', 'git', 'c-sharp', 'visual-studio']"
20,https://github.com/github/ruby,The Ruby Programming Language,Ruby,[None]
21,https://github.com/github/time-elements,Web component extensions to the standard <time> element.,JavaScript,"['localization', 'web-components', 'timezone', 'custom-elements']"
22,https://github.com/github/hotkey,Trigger an action on an element with a keyboard shortcut.,JavaScript,"['decorator', 'shortcuts']"
23,https://github.com/github/backup-utils,GitHub Enterprise Backup Utilities,Shell,"['github-enterprise', 'backups']"
24,https://github.com/github/image-crop-element,"A custom element for cropping a square image. Returns x, y, width, and height.",JavaScript,"['web-components', 'custom-elements', 'image-cropper', 'image-crop']"
25,https://github.com/github/opensourcefriday,Contribute to the open source community every Friday,Ruby,[None]
26,https://github.com/github/personal-website,Code that'll help you kickstart a personal website that showcases your work as a software developer.,HTML,[None]
27,https://github.com/github/github-ds,A collection of Ruby libraries for working with SQL on top of ActiveRecord's connection,Ruby,"['mysql', 'ruby', 'rails', 'activerecord', 'sql', 'key-value']"
28,https://github.com/github/platform-samples,A public place for all platform sample projects.,Shell,"['ruby', 'sample', 'graphql', 'pre-receive-hooks', 'javascript', 'hooks', 'platform']"
29,https://github.com/github/government.github.com,"Gather, curate, and feature stories of public servants and civic hackers using GitHub as part of their open government innovations",HTML,"['government', 'open-government', 'stories']"
30,https://github.com/github/hubot-pager-me,PagerDuty integration for Hubot,CoffeeScript,[None]
31,https://github.com/github/clipboard-copy-element,Copy element text content or input values to the clipboard.,JavaScript,"['web-components', 'custom-elements']"
32,https://github.com/github/gh-ost,GitHub's Online Schema Migrations for MySQL,Go,"['schema-migrations', 'mysql']"
33,https://github.com/github/vitess-gh,Vitess is a database clustering system for horizontal scaling of MySQL.,Go,[None]
34,https://github.com/github/freno,"freno: cooperative, highly available throttler service",Go,"['mysql', 'replication', 'throttle', 'high-availability']"
35,https://github.com/github/task-lists-element,Drag and drop task list items.,JavaScript,"['web-components', 'custom-elements']"
36,https://github.com/github/tab-container-element,An accessible tab container element with keyboard support.,JavaScript,"['web-components', 'custom-elements']"
37,https://github.com/github/remote-input-element,An input element that sends its value to a server endpoint and renders the response body.,JavaScript,"['web-components', 'custom-elements']"
38,https://github.com/github/babel-preset-github,GitHub.com's Babel configuration,JavaScript,"['javascript', 'babel', 'configuration', 'babel-preset', 'transpiler']"
39,https://github.com/github/ccql,Multi server MySQL client,Go,"['mysql', 'client']"
40,https://github.com/github/training-kit,Open source cheat sheets for Git and GitHub,HTML,"['git', 'training', 'cheatsheet', 'fieldservices', 'professionalservices']"
41,https://github.com/github/libprojfs,Linux projected filesystem library,C,"['git', 'filesystems', 'fuse-filesystem', 'vfsforgit']"
42,https://github.com/github/git-sizer,"Compute various size metrics for a Git repository, flagging those that might cause problems",Go,"['github', 'git', 'golang']"
43,https://github.com/github/glb-director,GitHub Load Balancer Director and supporting tooling.,C,[None]
44,https://github.com/github/licensed,A Ruby gem to cache and verify the licenses of dependencies,Ruby,"['licensing', 'open-source-licensing', 'dependencies', 'license-management']"
45,https://github.com/github/details-dialog-element,A modal dialog that's opened with <details>.,JavaScript,"['web-components', 'custom-elements']"
46,https://github.com/github/details-menu-element,A menu opened with <details>.,JavaScript,"['web-components', 'custom-elements']"
47,https://github.com/github/g-emoji-element,Backports native emoji characters to browsers that don't support them by replacing the characters with fallback images.,JavaScript,"['emoji', 'web-components', 'custom-elements']"
48,https://github.com/github/site-policy,"Collaborative development on GitHub's site policies, procedures, and guidelines",,"['law', 'policy', 'privacy-policy', 'terms-of-service']"
49,https://github.com/github/hoosegow,Ephemeral Docker jails for running untrusted Ruby code,Ruby,[None]
50,https://github.com/github/include-fragment-element,A client-side includes tag.,JavaScript,"['web-components', 'custom-elements']"
51,https://github.com/github/markdown-toolbar-element,Markdown formatting buttons for text inputs.,JavaScript,"['markdown', 'web-components', 'custom-elements']"
52,https://github.com/github/email_reply_parser,Small library to parse plain text email content,Ruby,[None]
53,https://github.com/github/graphql-client,"A Ruby library for declaring, composing and executing GraphQL queries",Ruby,"['graphql', 'graphql-client', 'ruby']"
54,https://github.com/github/gov-takedowns,Text of government takedown notices as received. GitHub does not endorse or adopt any assertion contained in the following notices.,,[None]
55,https://github.com/github/query-selector,"Query the document tree by selector, filtering by element type.",JavaScript,"['flow', 'dom']"
